,原句,切割後的句子
0,張三在台北101前面拍了很多照片。,"['張三在', '台北', '101', '前面', '拍', '了', '很多', '照片', '。']"
1,李四昨天在台中火車站迷路了。,"['李四', '昨天', '在', '台', '中', '火車', '站', '迷路', '了', '。']"
2,王五參加了鴻海公司的年度大會。,"['王五', '參加', '了', '鴻', '海', '公司', '的', '年度', '大會', '。']"
3,華為手機在全球市場上的銷量持續增長。,"['華為', '手機', '在', '全球', '市場', '上', '的', '銷量', '持續', '增長', '。']"
4,張三開了一間叫做「香格里拉」的餐廳。,"['張三開', '了', '一間', '叫做', '「', '香格里拉', '」', '的', '餐廳', '。']"
5,小明帶著他的iPhone去了華山藝文中心。,"['小明', '帶', '著', '他', '的', 'iPhone', '去', '了', '華山', '藝文', '中心', '。']"
6,你知道Apple的總部在哪裡嗎？,"['你', '知道', 'Apple', '的', '總部', '在', '哪裡', '嗎', '？']"
7,昨天在星巴克遇見了老朋友林小明。,"['昨天', '在', '星巴克', '遇見', '了', '老朋友', '林小明', '。']"
8,上海是中國的經濟中心。,"['上海', '是', '中國', '的', '經濟', '中心', '。']"
9,Google正在開發一個新的AI模型。,"['Google', '正在', '開發', '一個', '新', '的', 'AI', '模型', '。']"
10,馬雲創辦的阿里巴巴是中國最大的電商平台之一。,"['馬', '雲', '創辦', '的', '阿里巴巴', '是', '中國', '最大', '的', '電商', '平台', '之一', '。']"
11,珠穆朗瑪峰是世界最高的山。,"['珠穆', '朗瑪峰', '是', '世界', '最高', '的', '山', '。']"
12,高雄的六合夜市是美食愛好者的天堂。,"['高雄', '的', '六合', '夜市', '是', '美食', '愛好者', '的', '天堂', '。']"
13,臺灣大學的學生來參加這次比賽。,"['臺', '灣大學', '的', '學生來', '參加', '這次', '比賽', '。']"
14,蘋果電腦的發明改變了整個科技產業。,"['蘋果', '電腦', '的', '發明', '改變', '了', '整個', '科技', '產業', '。']"
15,中國移動的用戶數量每年都在增加。,"['中國', '移動', '的', '用戶', '數量', '每年', '都', '在', '增加', '。']"
16,香港的金融市場非常活躍。,"['香港', '的', '金融', '市場', '非常', '活躍', '。']"
17,IBM推出了一款全新的量子計算機。,"['IBM', '推出', '了', '一款', '全新', '的', '量子', '計算機', '。']"
18,Microsoft的Windows系統是全球最常用的操作系統之一。,"['Microsoft', '的', 'Windows', '系統', '是', '全球', '最', '常用', '的', '操作', '系統', '之一', '。']"
19,劉德華出演了很多經典的電影。,"['劉德華', '出演', '了', '很多', '經典', '的', '電影', '。']"
20,台灣的玉山是當地最高的山峰。,"['台灣', '的', '玉山', '是', '當地', '最高', '的', '山峰', '。']"
21,世界衛生組織在日內瓦總部召開會議。,"['世界', '衛生', '組織', '在', '日', '內瓦', '總部', '召開會議', '。']"
22,任天堂的Switch遊戲機在全球大受歡迎。,"['任天堂', '的', 'Switch', '遊戲機', '在', '全球', '大受', '歡迎', '。']"
23,中央電視台播放了關於新冠疫情的最新報導。,"['中央', '電視台', '播放', '了關', '於', '新冠', '疫情', '的', '最新', '報導', '。']"
24,奧林匹克運動會將在東京舉行。,"['奧林匹克', '運動會將', '在', '東京', '舉行', '。']"
25,特斯拉的自動駕駛技術引發了廣泛關注。,"['特斯拉', '的', '自動', '駕駛技術', '引發', '了', '廣泛', '關注', '。']"
26,小紅書是一個非常受歡迎的社交平台。,"['小紅書', '是', '一個', '非常', '受歡', '迎', '的', '社交', '平台', '。']"
27,Facebook的隱私政策再次引發爭議。,"['Facebook', '的', '隱私', '政策', '再次', '引發', '爭議', '。']"
28,日本的富士山每年都吸引大量遊客。,"['日本', '的', '富士山', '每年', '都', '吸引', '大量', '遊客', '。']"
29,李小龍的武術精神影響了全世界。,"['李小龍', '的', '武術', '精神', '影響', '了', '全世界', '。']"
